id,string,number,no_date,st_boolean,uuid,country,color,job
1,hundred,34126,1970-08-09,0,14300591-4c09-49ea-a06c-d38262977e10,"Palestinian Territory",SaddleBrown,"Environmental consultant"
2,teacher,72154,1980-05-30,1,c289b019-c2e7-40ba-8c56-5c9b9a1e8c9c,Micronesia,PaleTurquoise,"Therapist, drama"
3,yes,96280,1979-03-24,1,f162f3b3-0cf3-40a0-a8f8-c167b0d8de62,Zimbabwe,DodgerBlue,"Commercial/residential surveyor"
4,us,70933,1987-11-28,0,bc1dd3fa-1c5b-4979-ac5b-84a8cbe31273,"San Marino",DarkGoldenRod,"Travel agency manager"
5,speech,70471,1978-03-11,1,98d06bd3-0555-4d7f-b9de-1df578f288bf,Swaziland,Olive,Printmaker
6,charge,68993,1979-11-08,0,72d14cd0-dc0c-44e3-9f09-c96a2d7d7a74,Timor-Leste,Crimson,Lawyer
7,several,91097,2001-04-15,1,f8eaf0b0-08ee-4641-a849-650c5a52fb86,Botswana,DarkOliveGreen,"Product designer"
8,tonight,67938,1986-12-09,1,b9c2ab26-02fb-482e-85b0-017262435566,Mongolia,DarkSalmon,"Psychologist, educational"
9,too,58590,1999-12-06,1,651343cc-d629-470d-9600-f521e091b2de,"Faroe Islands",Ivory,"Building surveyor"
10,imagine,55357,2021-10-31,0,d35889cf-bfd6-4219-9975-2a7983e97dec,"Sao Tome and Principe",CornflowerBlue,"Therapist, occupational"
11,sell,48080,2019-08-24,0,2f684d67-05fd-4a28-9828-9731387ad854,Yemen,DeepSkyBlue,"Brewing technologist"
12,owner,76493,1997-02-10,1,20c25c37-b5bb-4522-bfb5-c4b1a3fd019f,Bolivia,LightSkyBlue,"Commissioning editor"
13,foot,74463,2003-03-23,1,d508add7-8eb2-4dd8-8e00-a60b32ed1734,Kiribati,DarkBlue,"Surveyor, hydrographic"
14,role,84972,2017-07-21,0,b79dcd02-5c80-420d-8a5d-c4c8ecfd350a,Namibia,Wheat,"Petroleum engineer"
15,owner,93177,1975-02-09,0,d2563d27-8bc1-4af9-b452-eba931d41db8,"Bosnia and Herzegovina",SaddleBrown,"Barrister's clerk"
16,huge,49072,2012-02-05,1,cec9884b-cd40-4178-84d0-3fffad22f8cf,"Saint Helena",LightPink,"Surveyor, minerals"
17,whether,46818,1972-07-28,0,04d5c6c4-efe5-4c36-a4fb-1e5f392a33d2,"Falkland Islands (Malvinas)",PaleGoldenRod,"Child psychotherapist"
18,item,37983,1973-08-12,1,0ed9a5be-a461-4c0d-a5e5-bdc2d3e760ab,"New Caledonia",Tan,"Clothing/textile technologist"
19,check,86213,2002-06-22,1,2a7ac151-4f49-484c-aaea-f30b188df56f,"El Salvador",Coral,"Buyer, retail"
20,safe,62063,1981-11-24,1,388b6291-a60b-401d-a049-fc47d7c65e0d,"French Polynesia",DarkViolet,"Occupational psychologist"
21,room,16145,1974-03-04,0,cbf3892f-fab4-4a82-9fb7-51b56463e242,"Cocos (Keeling) Islands",Purple,"Associate Professor"
22,upon,34704,2017-09-09,1,9d6b4496-0cf2-4944-84b1-5a3a8569e0c9,"Bosnia and Herzegovina",LightCoral,"Restaurant manager"
23,commercial,21940,2014-10-16,0,2ecb143e-c37c-46c3-8f57-470668ebf967,"Sao Tome and Principe",HoneyDew,Photographer
24,material,73850,2015-08-02,1,b4431692-9db2-4306-9122-aec2539d4ecc,Grenada,Tomato,"Operational researcher"
25,determine,92026,1979-08-21,0,709bd05c-05b5-4f52-b561-60854eeb7e3e,Belarus,Silver,"Psychologist, occupational"
26,close,48033,2017-03-06,1,3e77aec6-459c-4ff5-9c9f-e2d701f60859,Kazakhstan,MediumTurquoise,"Waste management officer"
27,alone,96371,1999-07-16,0,587eb5a4-16e5-4fe0-9181-d763db49696d,Cyprus,DarkViolet,"Investment analyst"
28,manager,40564,1993-03-24,1,cc4fa760-ba2e-4f99-982a-87f4e8d07e35,Thailand,SpringGreen,"Electronics engineer"
29,remain,60919,1996-06-15,1,76e30cd2-16f2-449e-b7bd-9c6d8de01852,Singapore,DarkSeaGreen,"Electrical engineer"
30,do,20897,2002-09-08,0,4255a63e-81b3-4070-b063-3f94b7d8859e,Angola,Linen,"Data processing manager"
31,cost,60788,2013-10-09,0,7c3caf4c-4be9-4429-ac8d-efeced26b3b6,Kazakhstan,SkyBlue,"Passenger transport manager"
